Title,Sale Price,Regular Price,Sale Percentage
DRAGON BALL XENOVERSE 2,$5.99,$19.99,70%
LEGO® DC Super-Villains,$5.99,$59.99,90%
HITMAN World of Assassination Part One,$5.99,$29.99,80%
Just Cause 4: Reloaded,$5.99,$39.99,85%
LEGO® The Incredibles,$5.99,$59.99,90%
Tom Clancy’s The Division 2,$5.99,$29.99,80%
South Park™: The Fractured but Whole™,$5.99,$29.99,80%
Resident Evil™ Code: Veronica X,$5.99,$14.99,60%
Middle-earth™: Shadow of War™ Definitive Edition,$5.99,$59.99,90%
Sid Meier's Civilization VI,$5.99,$29.99,80%
Far Cry® 3 Classic Edition,$5.99,$29.99,80%
South Park™: The Fractured but Whole™ - Season Pass,$5.99,$19.99,70%
Dishonored 2,$5.99,$29.99,80%
One Piece: Burning Blood,$5.99,$59.99,90%
Back 4 Blood: Standard Edition PS4 & PS5,$5.99,$59.99,90%
Tales of Zestiria,$5.99,$59.99,90%
ZONE OF THE ENDERS: The 2nd Runner - M∀RS,$5.99,$29.99,80%
PlateUp!,$5.99,$19.99,70%
PowerWash Simulator SpongeBob SquarePants Special Pack,$5.99,$7.99,25%
The Witcher 3: Wild Hunt - Blood and Wine,$5.99,$19.99,70%
PowerWash Simulator – Shrek Special Pack,$5.99,$7.99,25%
STAR WARS™: Squadrons,$5.99,$39.99,85%
Tiny Tina's Wonderlands: Season Pass,$5.99,$29.99,80%
PowerWash Simulator – Wallace & Gromit Special Pack,$5.99,$7.99,25%
Northgard,$5.99,$29.99,80%
Bulletstorm: Full Clip Edition,$5.99,$39.99,85%
Mega Man® Legacy Collection,$5.99,$14.99,60%
The Forgotten City,$5.99,$29.99,80%
Pumpkin Jack,$5.99,$29.99,80%
PowerWash Simulator Back to the Future Special Pack,$5.99,$7.99,25%
MX vs ATV Legends - Slayground,$5.59,$7.99,30%
Darkwood,$5.39,$17.99,70%
Chained Up Together,$5.24,$6.99,25%
Dragon's Dogma: Dark Arisen,$5.09,$29.99,83%
Just Cause 3: XXL Edition,$5.09,$29.99,83%
Jujutsu Kaisen Cursed Clash Ultimate Edition PS4 & PS5,$49.99,$99.99,50%
Tales of Arise - Beyond the Dawn Ultimate Edition PS4 & PS5,$49.99,$99.99,50%
THEATRHYTHM FINAL BAR LINE Premium Digital Deluxe Edition,$49.99,$99.99,50%
Sid Meier's Civilization® VII,$48.99,$69.99,30%
The Legend of Heroes: Trails of Cold Steel III / The Legend of Heroes: Trails of Cold Steel IV,$48.99,$69.99,30%
Like a Dragon: Pirate Yakuza in Hawaii Deluxe Edition PS4 & PS5,$48.74,$74.99,35%
OCTOPATH TRAVELER + OCTOPATH TRAVELER II Bundle,$48.74,$74.99,35%
Expeditions: A MudRunner Game - Supreme Edition (PS4 & PS5),$47.99,$79.99,40%
Blades of Fire,$47.99,$59.99,20%
Disgaea 7: Vows of the Virtueless,$47.99,$59.99,20%
